source,target,weight
LD.Ptepar_usersample,LD.DTS1218.710987,0.5
LD.Ptepar_usersample,BD.NBS1086.710943,0.55427460863214018
LD.Ptepar_usersample,LD.NBS1067E.710962,0.62835955274094202
LD.Ptepar_usersample,LD.QCAZ.M50993.710933,0.79076862761132793
LD.Ptepar_usersample,H62Dh.735881,0.83517360768495863
LD.Ptepar_usersample,H59Kc.735886,0.83807587785537574
LD.Ptepar_usersample,H62Cb.735970,0.84811083388997288
LD.Ptepar_usersample,H25Kc.735912,0.8691530526943968
LD.Ptepar_usersample,H18Cb.735992,0.87164440209251737
LD.Ptepar_usersample,LD.QCAZ.M50991.710938,0.89318063013360438
LD.Ptepar_usersample,7352.518512,0.90265666192956617
LD.Ptepar_usersample,H35Fr.735894,0.90404003696813806
LD.Ptepar_usersample,LD.QCAZ.M51309.710974,0.91106479974167154
LD.Ptepar_usersample,H34Kc.735939,0.92099271883394174
LD.Ptepar_usersample,H60Tv.736007,0.92678605927684776
LD.Ptepar_usersample,H60Do.735986,0.92726137229735639
LD.Ptepar_usersample,egg.WY.2009.562.712099.739075,0.92759699639896231
LD.Ptepar_usersample,H35Di.735927,0.92819687665170569
LD.Ptepar_usersample,H60Di.735930,0.93968459992703468
LD.Ptepar_usersample,H22Fr.735949,0.94134088000564642
LD.DTS1218.710987,BD.NBS1086.710943,1.0
LD.DTS1218.710987,LD.NBS1067E.710962,0.5
LD.DTS1218.710987,LD.QCAZ.M50993.710933,0.5
LD.DTS1218.710987,H62Dh.735881,0.5
LD.DTS1218.710987,H59Kc.735886,1.0
LD.DTS1218.710987,H62Cb.735970,1.0
LD.DTS1218.710987,H25Kc.735912,1.0
LD.DTS1218.710987,H18Cb.735992,1.0
LD.DTS1218.710987,LD.QCAZ.M50991.710938,1.0
LD.DTS1218.710987,7352.518512,1.0
LD.DTS1218.710987,H35Fr.735894,1.0
LD.DTS1218.710987,LD.QCAZ.M51309.710974,1.0
LD.DTS1218.710987,H34Kc.735939,1.0
LD.DTS1218.710987,H60Tv.736007,1.0
LD.DTS1218.710987,H60Do.735986,1.0
LD.DTS1218.710987,egg.WY.2009.562.712099.739075,1.0
LD.DTS1218.710987,H35Di.735927,1.0
LD.DTS1218.710987,H60Di.735930,1.0
LD.DTS1218.710987,H22Fr.735949,1.0
BD.NBS1086.710943,LD.NBS1067E.710962,0.27441298294572997
BD.NBS1086.710943,LD.QCAZ.M50993.710933,0.81781737173873492
BD.NBS1086.710943,H62Dh.735881,0.83364888008544147
BD.NBS1086.710943,H59Kc.735886,0.8284377495686247
BD.NBS1086.710943,H62Cb.735970,0.85031472822918008
BD.NBS1086.710943,H25Kc.735912,0.88679370901914645
BD.NBS1086.710943,H18Cb.735992,0.8644920283386659
BD.NBS1086.710943,LD.QCAZ.M50991.710938,0.93948063263241699
BD.NBS1086.710943,7352.518512,0.90265666192956595
BD.NBS1086.710943,H35Fr.735894,0.90794958900506262
BD.NBS1086.710943,LD.QCAZ.M51309.710974,0.91889339416829507
BD.NBS1086.710943,H34Kc.735939,0.92868827415476018
BD.NBS1086.710943,H60Tv.736007,0.94452111324052912
BD.NBS1086.710943,H60Do.735986,0.92412301015074194
BD.NBS1086.710943,egg.WY.2009.562.712099.739075,0.91438870913186521
BD.NBS1086.710943,H35Di.735927,0.92190945744637887
BD.NBS1086.710943,H60Di.735930,0.97260065607558643
BD.NBS1086.710943,H22Fr.735949,0.94409507306235785
LD.NBS1067E.710962,LD.QCAZ.M50993.710933,0.80936936308585639
LD.NBS1067E.710962,H62Dh.735881,0.79790602173213032
LD.NBS1067E.710962,H59Kc.735886,0.82398563282271886
LD.NBS1067E.710962,H62Cb.735970,0.82666887205647566
LD.NBS1067E.710962,H25Kc.735912,0.8825318707322799
LD.NBS1067E.710962,H18Cb.735992,0.86016353779410448
LD.NBS1067E.710962,LD.QCAZ.M50991.710938,0.84402793961189548
LD.NBS1067E.710962,7352.518512,0.90265666192956595
LD.NBS1067E.710962,H35Fr.735894,0.89697270613568136
LD.NBS1067E.710962,LD.QCAZ.M51309.710974,0.92394218053967037
LD.NBS1067E.710962,H34Kc.735939,0.91766349988493989
LD.NBS1067E.710962,H60Tv.736007,0.9317882539847232
LD.NBS1067E.710962,H60Do.735986,0.92057879515142105
LD.NBS1067E.710962,egg.WY.2009.562.712099.739075,0.90930307218067774
LD.NBS1067E.710962,H35Di.735927,0.93327806290718729
LD.NBS1067E.710962,H60Di.735930,0.96529225244382866
LD.NBS1067E.710962,H22Fr.735949,0.92992413679755681
LD.QCAZ.M50993.710933,H62Dh.735881,0.7602369824730989
LD.QCAZ.M50993.710933,H59Kc.735886,0.63344436955776207
LD.QCAZ.M50993.710933,H62Cb.735970,0.80517933123987107
LD.QCAZ.M50993.710933,H25Kc.735912,0.83001021284857857
LD.QCAZ.M50993.710933,H18Cb.735992,0.65711774652790089
LD.QCAZ.M50993.710933,LD.QCAZ.M50991.710938,0.50018827315413228
LD.QCAZ.M50993.710933,7352.518512,0.90265666192956617
LD.QCAZ.M50993.710933,H35Fr.735894,0.77476194748903093
LD.QCAZ.M50993.710933,LD.QCAZ.M51309.710974,0.56798617478560365
LD.QCAZ.M50993.710933,H34Kc.735939,0.88085843523533702
LD.QCAZ.M50993.710933,H60Tv.736007,0.82362680114501852
LD.QCAZ.M50993.710933,H60Do.735986,0.91426533417606537
LD.QCAZ.M50993.710933,egg.WY.2009.562.712099.739075,0.85481849674816601
LD.QCAZ.M50993.710933,H35Di.735927,0.90991881681589326
LD.QCAZ.M50993.710933,H60Di.735930,0.88095472603409297
LD.QCAZ.M50993.710933,H22Fr.735949,0.71943595405316274
H62Dh.735881,H59Kc.735886,0.76618803086099718
H62Dh.735881,H62Cb.735970,0.49230443635622456
H62Dh.735881,H25Kc.735912,0.69599332438397032
H62Dh.735881,H18Cb.735992,0.81033438006786618
H62Dh.735881,LD.QCAZ.M50991.710938,0.8546103072716088
H62Dh.735881,7352.518512,0.90265666192956617
H62Dh.735881,H35Fr.735894,0.76390195122638338
H62Dh.735881,LD.QCAZ.M51309.710974,0.86387950633788924
H62Dh.735881,H34Kc.735939,0.83471173764616691
H62Dh.735881,H60Tv.736007,0.73266144526882027
H62Dh.735881,H60Do.735986,0.88410335311516375
H62Dh.735881,egg.WY.2009.562.712099.739075,0.84598025366366958
H62Dh.735881,H35Di.735927,0.84011347072336984
H62Dh.735881,H60Di.735930,0.84189041651034668
H62Dh.735881,H22Fr.735949,0.81609357882606592
H59Kc.735886,H62Cb.735970,0.81379112692255318
H59Kc.735886,H25Kc.735912,0.75009695253520725
H59Kc.735886,H18Cb.735992,0.49287839374188824
H59Kc.735886,LD.QCAZ.M50991.710938,0.93400505299570125
H59Kc.735886,7352.518512,0.90265666192956617
H59Kc.735886,H35Fr.735894,0.72098670225280403
H59Kc.735886,LD.QCAZ.M51309.710974,0.86322428360524939
H59Kc.735886,H34Kc.735939,0.76122396961090577
H59Kc.735886,H60Tv.736007,0.84285361110665136
H59Kc.735886,H60Do.735986,0.91031701568656453
H59Kc.735886,egg.WY.2009.562.712099.739075,0.91728152566598242
H59Kc.735886,H35Di.735927,0.89648255674397659
H59Kc.735886,H60Di.735930,0.89593294430365633
H59Kc.735886,H22Fr.735949,0.40920416928749737
H62Cb.735970,H25Kc.735912,0.74929198211089132
H62Cb.735970,H18Cb.735992,0.8534971337019126
H62Cb.735970,LD.QCAZ.M50991.710938,0.84575612315565596
H62Cb.735970,7352.518512,0.90265666192956595
H62Cb.735970,H35Fr.735894,0.80859693847225655
H62Cb.735970,LD.QCAZ.M51309.710974,0.87750836054630021
H62Cb.735970,H34Kc.735939,0.83766919246610283
H62Cb.735970,H60Tv.736007,0.75646361523594396
H62Cb.735970,H60Do.735986,0.87743418777162241
H62Cb.735970,egg.WY.2009.562.712099.739075,0.88111897685342644
H62Cb.735970,H35Di.735927,0.81805976952477655
H62Cb.735970,H60Di.735930,0.86930831756220583
H62Cb.735970,H22Fr.735949,0.86724297082240898
H25Kc.735912,H18Cb.735992,0.69933139620043883
H25Kc.735912,LD.QCAZ.M50991.710938,0.87080401991017697
H25Kc.735912,7352.518512,0.95132833096478286
H25Kc.735912,H35Fr.735894,0.62797173045041543
H25Kc.735912,LD.QCAZ.M51309.710974,0.87706067157020307
H25Kc.735912,H34Kc.735939,0.69440912009228872
H25Kc.735912,H60Tv.736007,0.75311101393217494
H25Kc.735912,H60Do.735986,0.85047646163325252
H25Kc.735912,egg.WY.2009.562.712099.739075,0.8782384991679324
H25Kc.735912,H35Di.735927,0.74939984940223447
H25Kc.735912,H60Di.735930,0.7591422435837436
H25Kc.735912,H22Fr.735949,0.66373615538158237
H18Cb.735992,LD.QCAZ.M50991.710938,0.92126125055290753
H18Cb.735992,7352.518512,0.90265666192956617
H18Cb.735992,H35Fr.735894,0.71644818868284876
H18Cb.735992,LD.QCAZ.M51309.710974,0.85145199047510944
H18Cb.735992,H34Kc.735939,0.81100920700527279
H18Cb.735992,H60Tv.736007,0.81164463200162029
H18Cb.735992,H60Do.735986,0.89802247322724238
H18Cb.735992,egg.WY.2009.562.712099.739075,0.91873000163178631
H18Cb.735992,H35Di.735927,0.85134410783593406
H18Cb.735992,H60Di.735930,0.85044914961320173
H18Cb.735992,H22Fr.735949,0.41893416419982138
LD.QCAZ.M50991.710938,7352.518512,0.90265666192956617
LD.QCAZ.M50991.710938,H35Fr.735894,0.91190564390354478
LD.QCAZ.M50991.710938,LD.QCAZ.M51309.710974,0.61939999782088817
LD.QCAZ.M50991.710938,H34Kc.735939,0.90858467119632091
LD.QCAZ.M50991.710938,H60Tv.736007,0.89526140535890264
LD.QCAZ.M50991.710938,H60Do.735986,0.92686076754398639
LD.QCAZ.M50991.710938,egg.WY.2009.562.712099.739075,0.85328544041632837
LD.QCAZ.M50991.710938,H35Di.735927,0.90798339089150581
LD.QCAZ.M50991.710938,H60Di.735930,0.92024449208586723
LD.QCAZ.M50991.710938,H22Fr.735949,0.92045986791740264
7352.518512,H35Fr.735894,0.92699249644717463
7352.518512,LD.QCAZ.M51309.710974,0.95132833096478309
7352.518512,H34Kc.735939,0.95132833096478309
7352.518512,H60Tv.736007,0.97566416548239177
7352.518512,H60Do.735986,0.92699249644717474
7352.518512,egg.WY.2009.562.712099.739075,0.95132833096478309
7352.518512,H35Di.735927,0.97566416548239154
7352.518512,H60Di.735930,1.0
7352.518512,H22Fr.735949,0.97566416548239154
H35Fr.735894,LD.QCAZ.M51309.710974,0.84508710531762388
H35Fr.735894,H34Kc.735939,0.79735255221626189
H35Fr.735894,H60Tv.736007,0.77464860205448383
H35Fr.735894,H60Do.735986,0.87878119939184118
H35Fr.735894,egg.WY.2009.562.712099.739075,0.89999359817367808
H35Fr.735894,H35Di.735927,0.81448711935393969
H35Fr.735894,H60Di.735930,0.81357044857372696
H35Fr.735894,H22Fr.735949,0.67430155631577493
LD.QCAZ.M51309.710974,H34Kc.735939,0.88598460416283542
LD.QCAZ.M51309.710974,H60Tv.736007,0.84109189539323725
LD.QCAZ.M51309.710974,H60Do.735986,0.89031476775233787
LD.QCAZ.M51309.710974,egg.WY.2009.562.712099.739075,0.85169073302534914
LD.QCAZ.M51309.710974,H35Di.735927,0.87163592566211068
LD.QCAZ.M51309.710974,H60Di.735930,0.85446344555303455
LD.QCAZ.M51309.710974,H22Fr.735949,0.86650300628036181
H34Kc.735939,H60Tv.736007,0.78545853971098478
H34Kc.735939,H60Do.735986,0.88865112093506293
H34Kc.735939,egg.WY.2009.562.712099.739075,0.89986955382651346
H34Kc.735939,H35Di.735927,0.822867411360512
H34Kc.735939,H60Di.735930,0.80364750386713812
H34Kc.735939,H22Fr.735949,0.69319284783663693
H60Tv.736007,H60Do.735986,0.85076685634905647
H60Tv.736007,egg.WY.2009.562.712099.739075,0.85594064211252985
H60Tv.736007,H35Di.735927,0.79611641449975434
H60Tv.736007,H60Di.735930,0.58600105112416778
H60Tv.736007,H22Fr.735949,0.76310529790750825
H60Do.735986,egg.WY.2009.562.712099.739075,0.91097477720821629
H60Do.735986,H35Di.735927,0.74941385314969355
H60Do.735986,H60Di.735930,0.86417574478785641
H60Do.735986,H22Fr.735949,0.9109100506793717
egg.WY.2009.562.712099.739075,H35Di.735927,0.83184127184093393
egg.WY.2009.562.712099.739075,H60Di.735930,0.87843114075863893
egg.WY.2009.562.712099.739075,H22Fr.735949,0.89323749296987809
H35Di.735927,H60Di.735930,0.75165225653149925
H35Di.735927,H22Fr.735949,0.82014848873650192
H60Di.735930,H22Fr.735949,0.79566260634479113
